ITTER107,"malati cronici - affetti da artrosi, artrite",malati cronici - affetti da bronchite cronica,malati cronici - affetti da diabete,malati cronici - affetti da disturbi nervosi,malati cronici - affetti da ipertensione,malati cronici - affetti da malattie allergiche,malati cronici - affetti da malattie del cuore,malati cronici - affetti da osteoporosi,malati cronici - affetti da ulcera gastrica o duodenale,persone  con almeno una malattia cronica,persone con almeno due malattie croniche,persone con malattie croniche in buona salute,persone in buona salute
ITC1,719.0,269.0,202.0,222.0,833.0,419.0,175.0,299.0,101.0,1820.0,951.0,758.0,2974.0
ITC2,21.0,7.0,3.0,6.0,20.0,14.0,5.0,10.0,2.0,49.0,26.0,23.0,91.0
ITC3,291.0,96.0,86.0,82.0,323.0,183.0,63.0,176.0,43.0,699.0,382.0,293.0,1016.0
ITC4,1528.0,681.0,463.0,444.0,1733.0,1299.0,413.0,792.0,261.0,4172.0,2101.0,1995.0,6923.0
ITD1,53.0,15.0,14.0,18.0,67.0,54.0,12.0,20.0,7.0,171.0,67.0,115.0,442.0
ITD2,65.0,25.0,23.0,14.0,78.0,64.0,24.0,29.0,13.0,207.0,86.0,115.0,414.0
ITD3,695.0,292.0,219.0,178.0,825.0,591.0,208.0,282.0,131.0,2011.0,940.0,921.0,3376.0
ITD4,193.0,74.0,64.0,49.0,211.0,119.0,55.0,63.0,26.0,495.0,238.0,204.0,833.0
ITD5,759.0,255.0,233.0,173.0,762.0,493.0,203.0,303.0,130.0,1918.0,925.0,840.0,3061.0
ITE1,575.0,201.0,189.0,169.0,641.0,425.0,131.0,276.0,81.0,1522.0,748.0,739.0,2642.0
ITE2,185.0,69.0,56.0,58.0,197.0,114.0,45.0,82.0,31.0,420.0,245.0,184.0,586.0
ITE3,237.0,83.0,75.0,58.0,227.0,140.0,57.0,106.0,47.0,597.0,295.0,269.0,1059.0
ITE4,984.0,349.0,340.0,261.0,1045.0,733.0,199.0,520.0,139.0,2405.0,1246.0,1054.0,4124.0
ITF1,235.0,87.0,98.0,74.0,242.0,156.0,48.0,126.0,41.0,527.0,298.0,204.0,871.0
ITF2,55.0,19.0,21.0,18.0,63.0,37.0,15.0,29.0,9.0,130.0,73.0,48.0,204.0
ITF3,898.0,336.0,378.0,275.0,1121.0,662.0,206.0,484.0,113.0,2178.0,1245.0,840.0,4042.0
ITF4,686.0,224.0,285.0,145.0,759.0,476.0,175.0,380.0,68.0,1630.0,878.0,636.0,2765.0
ITF5,112.0,40.0,40.0,25.0,115.0,77.0,23.0,55.0,23.0,251.0,135.0,95.0,370.0
ITF6,378.0,125.0,160.0,102.0,363.0,202.0,92.0,206.0,75.0,770.0,474.0,233.0,1228.0
ITG1,863.0,262.0,326.0,299.0,935.0,526.0,171.0,456.0,143.0,1868.0,1126.0,596.0,3379.0
ITG2,356.0,112.0,77.0,85.0,317.0,208.0,84.0,203.0,36.0,724.0,432.0,298.0,1091.0
